sample_nr,nutrients,dreissena,tea,lagerheimia,synechococcus,phyto,replicate,day_0_chlA,day_0_phycocyanin,day_1_chlA,day_1_phycocyanin,day_2_chlA,day_2_phycocyanin,day_7_chlA,day_7_phycocyanin,Dreissena_length
3,0,1,0,0,1,S,2,12,158,24,178,20,92,17,8,14.49
6,0,1,0,0,1,S,4,12,148,17,98,22,45,13,5,12.87
7,1,0,1,0,1,S,4,24,265,42,337,45,325,16,60,
11,1,0,1,0,1,S,1,23,263,44,341,46,323,15,57,
12,0,0,0,0,1,S,3,12,158,18,110,15,46,10,17,
13,1,0,0,0,1,S,1,22,264,38,301,46,314,17,57,
20,0,1,1,0,1,S,2,15,142,24,197,29,161,22,6,15.22
22,1,1,0,0,1,S,3,18,229,15,69,11,22,18,4,12.87
26,0,1,1,0,1,S,4,13,150,15,68,15,40,12,3,13.62
27,0,0,1,0,1,S,4,14,161,25,167,19,60,12,27,
28,1,0,1,0,1,S,3,25,263,42,352,48,347,18,70,
30,0,1,0,0,1,S,1,13,164,27,204,38,233,28,11,12.7
31,1,1,1,0,1,S,1,21,266,41,329,51,357,36,11,12.91
38,0,1,0,0,1,S,3,13,127,9,45,12,38,16,4,14.94
40,1,0,0,0,1,S,4,21,258,39,302,48,309,17,58,
43,0,0,0,0,1,S,1,12,158,18,107,16,45,10,19,
44,0,1,1,0,1,S,1,16,160,25,176,35,184,44,10,14.87
47,1,1,1,0,1,S,3,24,265,41,331,62,390,50,11,12.16
48,1,0,1,0,1,S,2,25,265,43,336,56,385,17,48,
50,0,1,1,0,1,S,3,15,168,31,193,24,84,28,31,15.22
54,1,0,0,0,1,S,3,22,261,39,308,46,307,17,60,
56,0,0,1,0,1,S,3,14,154,24,160,17,55,9,23,
59,0,0,0,0,1,S,2,13,158,16,109,15,42,10,18,
63,0,0,0,0,1,S,4,13,160,16,107,15,42,9,18,
64,0,0,1,0,1,S,1,14,165,23,154,16,54,10,21,
68,1,1,1,0,1,S,4,23,246,35,275,47,349,26,8,14.52
73,1,0,0,0,1,S,2,23,253,36,287,44,315,19,55,
77,1,1,0,0,1,S,1,24,257,39,308,50,332,98,13,13.7
83,1,1,0,0,1,S,4,16,NA,18,92,17,80,27,6,15.7
88,0,0,1,0,1,S,2,15,165,24,147,18,52,9,24,
90,1,1,0,0,1,S,2,21,238,21,176,33,224,19,6,11.64
92,1,1,1,0,1,S,2,25,255,36,284,51,363,27,12,14.68
4,1,1,0,1,0,L,3,36,5,20,3,21,3,16,4,15.06
8,0,1,0,1,0,L,4,37,4,15,4,23,5,26,5,16.08
10,1,0,0,1,0,L,4,40,5,42,5,43,7,42,5,
14,1,0,0,1,0,L,3,42,5,45,5,50,5,44,5,
15,1,1,1,1,0,L,2,47,5,35,4,19,4,38,7,17.34
16,1,1,1,1,0,L,1,37,5,24,4,26,4,14,5,12.38
19,0,0,1,1,0,L,4,36,4,40,4,40,4,32,4,
21,0,1,0,1,0,L,2,32,5,35,5,24,4,15,3,11.74
23,0,0,0,1,0,L,1,34,4,38,5,38,5,39,5,
29,0,1,0,1,0,L,3,35,5,34,4,26,6,14,2,14.74
32,1,1,1,1,0,L,4,39,7,38,4,25,4,69,5,15.32
36,1,0,1,1,0,L,2,42,5,46,6,49,5,53,6,
45,0,1,1,1,0,L,3,35,6,19,4,16,3,30,6,16.03
51,1,1,0,1,0,L,2,46,6,40,5,30,5,69,7,12.51
53,1,0,0,1,0,L,2,42,5,49,6,42,6,45,6,
55,0,0,1,1,0,L,2,35,23,37,5,32,4,36,5,
57,1,1,1,1,0,L,3,42,5,33,5,22,4,53,14,11.27
61,0,0,0,1,0,L,2,41,5,37,4,27,5,33,4,
62,0,0,1,1,0,L,3,35,6,25,3,34,5,38,5,
65,0,1,1,1,0,L,2,39,4,19,3,24,4,16,3,13.87
67,1,0,1,1,0,L,1,43,5,32,5,19,2,41,4,
69,1,0,0,1,0,L,1,43,4,33,5,34,4,48,5,
74,0,1,1,1,0,L,1,36,4,23,4,15,3,51,6,14.03
75,0,0,1,1,0,L,1,37,6,25,4,30,4,25,5,
76,1,0,1,1,0,L,3,45,5,33,4,33,5,37,3,
78,1,1,0,1,0,L,1,43,5,24,4,33,3,12,2,14.39
80,0,1,0,1,0,L,1,35,NA,27,5,28,4,35,4,15.54
81,1,0,1,1,0,L,4,40,NA,40,5,48,7,43,5,
84,0,1,1,1,0,L,4,31,6,16,3,16,3,15,5,13.15
85,0,0,0,1,0,L,3,34,5,37,6,34,4,29,4,
87,0,0,0,1,0,L,4,36,5,34,5,31,5,27,5,
89,1,1,0,1,0,L,4,40,5,30,5,18,3,107,10,12.79
1,0,0,0,1,1,SL,2,24,77,36,116,38,93,27,21,
2,1,0,0,1,1,SL,1,34,128,43,147,36,191,34,72,
5,0,1,0,1,1,SL,1,23,70,17,18,19,28,13,5,12.37
9,1,1,0,1,1,SL,4,33,126,29,144,56,210,24,5,14.23
17,1,0,1,1,1,SL,2,33,130,43,163,60,252,42,58,
18,1,1,0,1,1,SL,1,25,104,17,33,16,32,14,4,12.33
24,1,1,1,1,1,SL,2,34,126,42,162,48,205,44,11,12.59
25,1,1,1,1,1,SL,4,29,121,36,121,35,93,26,7,15.27
33,0,1,0,1,1,SL,2,25,72,17,30,15,23,15,4,13.46
34,1,1,0,1,1,SL,3,24,108,31,121,35,133,22,5,14.21
35,0,1,1,1,1,SL,2,26,79,37,154,43,164,16,7,13.81
37,1,0,1,1,1,SL,3,35,127,46,172,62,254,46,64,
39,0,0,1,1,1,SL,1,28,83,38,147,41,111,25,26,
41,1,0,0,1,1,SL,2,32,130,40,146,53,207,35,67,
42,0,0,1,1,1,SL,3,29,82,37,154,44,118,26,24,
46,0,0,1,1,1,SL,2,29,80,38,152,45,140,27,23,
49,0,0,1,1,1,SL,4,27,85,40,153,31,123,23,25,
52,1,1,0,1,1,SL,2,33,129,31,111,27,83,17,5,13.37
58,0,0,0,1,1,SL,4,26,79,35,114,35,89,23,11,
60,0,1,1,1,1,SL,3,23,77,16,35,16,43,13,12,16.7
66,1,1,1,1,1,SL,3,30,126,37,152,46,214,40,11,16.1
70,0,0,0,1,1,SL,1,26,79,31,116,36,105,24,18,
71,1,0,1,1,1,SL,4,35,126,38,173,62,284,43,58,
72,0,1,0,1,1,SL,4,26,76,27,111,38,194,16,5,14.73
79,0,0,0,1,1,SL,3,25,76,31,115,36,89,24,20,
82,1,1,1,1,1,SL,1,22,NA,20,45,21,49,47,7,17.68
86,0,1,0,1,1,SL,3,26,75,24,91,27,114,12,5,13.8
91,1,0,0,1,1,SL,4,33,128,37,140,53,208,32,70,
93,1,0,0,1,1,SL,3,34,NA,39,143,56,224,38,70,
94,0,1,1,1,1,SL,4,27,NA,26,103,33,133,20,6,14.18
95,1,0,1,1,1,SL,1,33,NA,43,169,59,257,40,59,
96,0,1,1,1,1,SL,1,26,NA,36,139,48,170,14,7,11.29
